"","HEXID","date","NDaysAbove10ms"
"515","CT56","apr_2000",8
"516","CT57","apr_2000",14
"517","CT58","apr_2000",8
"518","CT59","apr_2000",2
"519","CT60","apr_2000",4
"520","CT61","apr_2000",2
"521","FR81","apr_2000",15
"522","FR83","apr_2000",14
"523","FR75","apr_2000",16
"524","FR79","apr_2000",15
"525","FR84","apr_2000",11
"526","FR5","apr_2000",15
"527","FR54","apr_2000",21
"528","FR36","apr_2000",10
"529","FR77","apr_2000",10
"530","FR78","apr_2000",16
"531","FR32","apr_2000",16
"532","FR31","apr_2000",22
"533","FR67","apr_2000",16
"534","FR80","apr_2000",16
"535","FR37","apr_2000",10
"536","FR3","apr_2000",10
"537","FR4","apr_2000",16
"538","FR49","apr_2000",16
"539","FR53","apr_2000",8
"540","FR63","apr_2000",8
"541","FR68","apr_2000",8
"542","FR71","apr_2000",14
"543","FR25","apr_2000",16
"544","FR15","apr_2000",7
"545","FR47","apr_2000",16
"546","FR27","apr_2000",12
"547","FR43","apr_2000",13
"548","FR17","apr_2000",14
"549","FR18","apr_2000",4
"550","FR55","apr_2000",14
"551","FR33","apr_2000",9
"552","FR19","apr_2000",14
"553","FR34","apr_2000",2
"554","FR64","apr_2000",13
"555","FR69","apr_2000",3
"556","FR57","apr_2000",13
"557","FR74","apr_2000",13
"558","FR40","apr_2000",15
"559","FR41","apr_2000",8
"560","FR42","apr_2000",2
"561","FR28","apr_2000",15
"562","FR58","apr_2000",13
"563","FR21","apr_2000",15
"564","FR72","apr_2000",6
"565","FR30","apr_2000",2
"566","FR44","apr_2000",15
"567","FR16","apr_2000",2
"568","FR56","apr_2000",2
"569","FR46","apr_2000",2
"570","FR50","apr_2000",3
"571","FR51","apr_2000",2
"572","FR52","apr_2000",11
"573","FR59","apr_2000",11
"574","FR60","apr_2000",4
"575","FR20","apr_2000",10
"576","FR61","apr_2000",10
"577","FR62","apr_2000",7
"578","FR35","apr_2000",9
"579","FR65","apr_2000",2
"580","FR66","apr_2000",10
"581","FR29","apr_2000",3
"582","FR70","apr_2000",7
"583","FR2","apr_2000",9
"584","FR14","apr_2000",5
"585","FR1","apr_2000",5
"586","FR39","apr_2000",5
"587","FR45","apr_2000",6
"588","FR48","apr_2000",6
"589","FR24","apr_2000",5
"590","FR85","apr_2000",6
"591","FR73","apr_2000",6
"592","FR22","apr_2000",6
"593","FR88","apr_2000",6
"594","FR76","apr_2000",6
"595","FR10","apr_2000",8
"596","FR38","apr_2000",1
"597","FR90","apr_2000",5
"598","FR6","apr_2000",6
"599","FR87","apr_2000",6
"600","FR26","apr_2000",6
"601","FR8","apr_2000",5
"602","FR82","apr_2000",4
"603","FR9","apr_2000",4
"604","FR89","apr_2000",11
"605","FR23","apr_2000",4
"606","FR86","apr_2000",6
"607","FR11","apr_2000",8
"608","FR7","apr_2000",11
"609","FR12","apr_2000",11
"610","FR13","apr_2000",11
"611","FR91","apr_2000",14
"612","FR92","apr_2000",13
"613","CT1","may_2000",25
"614","CT2","may_2000",12
"615","CT3","may_2000",16
"616","CT4","may_2000",24
"617","CT5","may_2000",19
"618","CT6","may_2000",NA
"619","CT7","may_2000",25
"620","CT8","may_2000",13
"621","CT9","may_2000",15
"622","CT10","may_2000",21
"623","CT11","may_2000",22
"624","CT12","may_2000",17
"625","CT13","may_2000",NA
"626","CT14","may_2000",19
"627","CT15","may_2000",8
"628","CT16","may_2000",15
"629","CT17","may_2000",15
"630","CT18","may_2000",22
"631","CT19","may_2000",20
"632","CT20","may_2000",16
"633","CT21","may_2000",21
"634","CT22","may_2000",19
"635","CT23","may_2000",8
"636","CT24","may_2000",6
"637","CT25","may_2000",15
"638","CT26","may_2000",19
"639","CT27","may_2000",19
"640","CT28","may_2000",17
"641","CT29","may_2000",8
"642","CT30","may_2000",5
"643","CT31","may_2000",6
"644","CT32","may_2000",4
"645","CT33","may_2000",7
"646","CT34","may_2000",16
"647","CT35","may_2000",14
"648","CT36","may_2000",10
"649","CT37","may_2000",4
"650","CT38","may_2000",2
"651","CT39","may_2000",2
"652","CT40","may_2000",13
"653","CT41","may_2000",9
"654","CT42","may_2000",17
"655","CT43","may_2000",17
"656","CT44","may_2000",8
"657","CT45","may_2000",2
"658","CT46","may_2000",11
"659","CT47","may_2000",13
"660","CT48","may_2000",16
"661","CT49","may_2000",4
"662","CT50","may_2000",4
"663","CT51","may_2000",13
"664","CT52","may_2000",18
"665","CT53","may_2000",15
"666","CT54","may_2000",14
"667","CT55","may_2000",8
"668","CT56","may_2000",10
"669","CT57","may_2000",16
"670","CT58","may_2000",16
"671","CT59","may_2000",4
"672","CT60","may_2000",9
"673","CT61","may_2000",0
"674","FR81","may_2000",18
"675","FR83","may_2000",18
"676","FR75","may_2000",18
"677","FR79","may_2000",18
"678","FR84","may_2000",14
"679","FR5","may_2000",22
"680","FR54","may_2000",26
"681","FR36","may_2000",12
"682","FR77","may_2000",12
"683","FR78","may_2000",22
"684","FR32","may_2000",22
"685","FR31","may_2000",26
"686","FR67","may_2000",22
"687","FR80","may_2000",22
"688","FR37","may_2000",12
"689","FR3","may_2000",16
"690","FR4","may_2000",22
"691","FR49","may_2000",22
"692","FR53","may_2000",12
"693","FR63","may_2000",8
"694","FR68","may_2000",18
"695","FR71","may_2000",23
"696","FR25","may_2000",22
"697","FR15","may_2000",17
"698","FR47","may_2000",21
"699","FR27","may_2000",20
"700","FR43","may_2000",18
"701","FR17","may_2000",18
"702","FR18","may_2000",8
"703","FR55","may_2000",19
"704","FR33","may_2000",16
"705","FR19","may_2000",19
"706","FR34","may_2000",6
"707","FR64","may_2000",20
"708","FR69","may_2000",8
"709","FR57","may_2000",20
"710","FR74","may_2000",19
"711","FR40","may_2000",20
"712","FR41","may_2000",13
"713","FR42","may_2000",7
"714","FR28","may_2000",22
"715","FR58","may_2000",17
"716","FR21","may_2000",20
"717","FR72","may_2000",11
"718","FR30","may_2000",7
"719","FR44","may_2000",20
"720","FR16","may_2000",4
"721","FR56","may_2000",8
"722","FR46","may_2000",4
"723","FR50","may_2000",11
"724","FR51","may_2000",3
"725","FR52","may_2000",14
"726","FR59","may_2000",13
"727","FR60","may_2000",7
"728","FR20","may_2000",12
"729","FR61","may_2000",12
"730","FR62","may_2000",12
"731","FR35","may_2000",13
"732","FR65","may_2000",6
"733","FR66","may_2000",13
"734","FR29","may_2000",8
"735","FR70","may_2000",12
"736","FR2","may_2000",12
"737","FR14","may_2000",8
"738","FR1","may_2000",12
"739","FR39","may_2000",12
"740","FR45","may_2000",13
"741","FR48","may_2000",12
"742","FR24","may_2000",13
"743","FR85","may_2000",13
"744","FR73","may_2000",13
"745","FR22","may_2000",13
"746","FR88","may_2000",13
"747","FR76","may_2000",16
"748","FR10","may_2000",16
"749","FR38","may_2000",2
"750","FR90","may_2000",13
"751","FR6","may_2000",13
"752","FR87","may_2000",13
"753","FR26","may_2000",13
"754","FR8","may_2000",11
"755","FR82","may_2000",3
"756","FR9","may_2000",11
"757","FR89","may_2000",17
"758","FR23","may_2000",4
"759","FR86","may_2000",5
"760","FR11","may_2000",14
"761","FR7","may_2000",17
"762","FR12","may_2000",16
"763","FR13","may_2000",16
"764","FR91","may_2000",23
"765","FR92","may_2000",19
"766","CT1","jun_2000",13
"767","CT2","jun_2000",5
"768","CT3","jun_2000",7
"769","CT4","jun_2000",20
"770","CT5","jun_2000",11
"771","CT6","jun_2000",NA
"772","CT7","jun_2000",12
"773","CT8","jun_2000",5
"774","CT9","jun_2000",6
"775","CT10","jun_2000",15
"776","CT11","jun_2000",17
"777","CT12","jun_2000",9
"778","CT13","jun_2000",NA
"779","CT14","jun_2000",13
"780","CT15","jun_2000",13
"781","CT16","jun_2000",6
"782","CT17","jun_2000",6
"783","CT18","jun_2000",13
"784","CT19","jun_2000",12
"785","CT20","jun_2000",3
"786","CT21","jun_2000",7
"787","CT22","jun_2000",6
"788","CT23","jun_2000",7
"789","CT24","jun_2000",6
"790","CT25","jun_2000",9
"791","CT26","jun_2000",9
"792","CT27","jun_2000",9
"793","CT28","jun_2000",10
"794","CT29","jun_2000",7
"795","CT30","jun_2000",3
"796","CT31","jun_2000",7
"797","CT32","jun_2000",2
"798","CT33","jun_2000",1
"799","CT34","jun_2000",4
"800","CT35","jun_2000",6
"801","CT36","jun_2000",6
"802","CT37","jun_2000",3
"803","CT38","jun_2000",2
"804","CT39","jun_2000",0
"805","CT40","jun_2000",3
"806","CT41","jun_2000",3
"807","CT42","jun_2000",14
"808","CT43","jun_2000",15
"809","CT44","jun_2000",3
"810","CT45","jun_2000",0
"811","CT46","jun_2000",1
"812","CT47","jun_2000",2
"813","CT48","jun_2000",14
"814","CT49","jun_2000",3
"815","CT50","jun_2000",0
"816","CT51","jun_2000",1
"817","CT52","jun_2000",8
"818","CT53","jun_2000",3
"819","CT54","jun_2000",1
"820","CT55","jun_2000",8
"821","CT56","jun_2000",9
"822","CT57","jun_2000",4
"823","CT58","jun_2000",21
"824","CT59","jun_2000",5
"825","CT60","jun_2000",4
"826","CT61","jun_2000",1
"827","FR81","jun_2000",11
"828","FR83","jun_2000",10
"829","FR75","jun_2000",11
"830","FR79","jun_2000",10
"831","FR84","jun_2000",7
"832","FR5","jun_2000",23
"833","FR54","jun_2000",12
"834","FR36","jun_2000",7
"835","FR77","jun_2000",7
"836","FR78","jun_2000",17
"837","FR32","jun_2000",22
"838","FR31","jun_2000",12
"839","FR67","jun_2000",15
"840","FR80","jun_2000",15
"841","FR37","jun_2000",7
"842","FR3","jun_2000",6
"843","FR4","jun_2000",13
"844","FR49","jun_2000",16
"845","FR53","jun_2000",5
"846","FR63","jun_2000",11
"847","FR68","jun_2000",6
"848","FR71","jun_2000",13
"849","FR25","jun_2000",15
"850","FR15","jun_2000",6
"851","FR47","jun_2000",13
"852","FR27","jun_2000",9
"853","FR43","jun_2000",10
"854","FR17","jun_2000",10
"855","FR18","jun_2000",13
"856","FR55","jun_2000",10
"857","FR33","jun_2000",9
"858","FR19","jun_2000",9
