"","HEXID","clay","sand","silt","ph","ksat"
"71","CT73",10.6549884054445,56.400074942812,21.1213298621602,5.5920325196872,0.225040316093871
"72","CT74",8.53719464701578,52.0456790995434,17.5624449427797,4.87421644624159,0.245537054367595
"73","CT75",12.0211889185515,56.768180440246,26.7825202178739,5.81688718084118,0.00836193661317603
"74","CT76",12.5595457314777,55.9613746580909,26.1787550351224,5.8119331056058,0.0302689212540599
"75","CT77",8.73013040051167,60.8279356740359,18.6067535612229,5.43713314465323,0.478856614202644
"76","CT78",9.83549308943248,55.0161458475959,20.0279210008489,5.44200541422329,0.242293338236387
"77","CT79",9.02211735800676,60.2011787474468,19.5829983474136,5.47700564999293,0.48938591060434
"78","CT8",17.2392623237163,43.7739214777549,33.0264847166599,6.34269075272089,7.40719238380469e-05
"79","CT80",7.44463587187557,54.5896406884367,18.2332736625755,5.01496351503664,0.404485836970129
"80","CT81",8.52939775619031,62.2606518751227,22.6176726743949,5.48838339557498,0.492653477010768
"81","CT82",32.1467060761702,29.2046167264269,35.7511406144006,6.13009303227057,0.000742319992247309
"82","CT83",33.4781363329862,25.4253059000601,36.8741728188017,5.60024421770153,0.0603965446286598
"83","CT84",17.4023914542894,43.1546639927511,41.1632460253519,5.62867446043513,0.0170838863740429
"84","CT85",32.3469899544769,24.7781904960934,37.4910345319071,5.42229430079557,0.0343624111952063
"85","CT86",13.0785866781969,49.8775231526733,34.9027939212255,5.7000576830667,0.0278881738157398
"86","CT9",15.4569693608595,50.2126770982761,28.4570634595691,6.59741368695762,0.000222233122545551
"87","FR15",23.2500257737069,40.1330488312615,34.9431828545372,6.35325046095284,0.00294315906342316
"88","FR16",21.8696736048409,46.9538910405677,26.9057525067718,6.06889167419094,0.0389123857498138
"89","FR17",11.5690242662889,61.451956629611,24.5659759738129,5.99565915948362,0.0163339255844479
"90","FR18",15.1186843340005,55.0737419151754,25.9847281697363,5.95848948651094,0.00638668971101516
"91","FR20",21.0928783285879,47.8349103519121,26.8144284087007,6.0435607466369,0.0371042237575103
"92","FR23",10.6331368786823,60.2274978730696,23.3914817183605,6.00456069671666,0.0688886365130696
"93","FR24",15.4051339619221,57.3949331734303,24.7861808749908,6.3854625067982,0.00258680282327069
"94","FR25",10.7984292776589,60.0401245264529,24.2392772207417,5.97207317024591,0.0471226661249009
"95","FR26",20.1952008860025,49.448994430785,26.7237423698189,6.03385710238361,0.0172376218203863
"96","FR29",24.3047185748368,43.7339966611417,27.799311335603,7.60257736779375,0.000648669729608188
"97","FR30",22.3957011462286,42.1299707979896,38.0808269929875,6.23600985319534,0.0139126720832754
"98","FR31",19.3765673287546,46.1001755348869,32.3904568357241,6.44978960536791,0.000363925850108043
"99","FR36",8.23592131413668,68.3439403012392,19.0645261082607,6.17448578255152,0.224771563909386
"100","FR39",15.7216709645982,52.0370060302829,26.5525541969326,7.05042170466934,1.28493160704419e-05
"101","FR44",11.3237916503603,58.2743784811578,23.9591511212836,5.84791911261854,0.0856952828212154
"102","FR47",9.13762328004454,64.9196502425833,20.9570746838463,6.11121550147141,0.16125526922771
"103","FR48",24.5184735934122,43.4473357169374,26.4383158070273,6.45335693114613,0.0154203037804807
"104","FR53",10.2287403089409,61.2749184107011,23.0903610804879,6.04484503749181,0.0890170813149325
"105","FR58",9.51883482734993,66.5616497229023,21.1172075046784,6.14313006159062,0.167633068991909
"106","FR59",8.15207142764061,70.1350705745908,18.9204077397987,6.28506400881318,0.30466210303359
"107","FR62",9.52491472430362,66.6606598125637,20.9139882186343,6.1798911595692,0.18109393245644
"108","FR63",8.47172280126021,69.5535064807649,18.813615062485,6.3620378444236,0.302850495405349
"109","FR68",11.9834910241392,64.039429709949,21.5138157170176,6.40791457663773,0.0975179967760991
"110","FR70",8.33308097191568,68.7710567191478,20.0985282482675,6.20055412550752,0.241300299725143
"111","FR75",22.9308542949578,40.0680666528228,35.4229690626413,5.96162863136976,1.9407414020304e-06
"112","FR87",16.4140388683887,51.5533313653137,27.4417525215252,6.00515424354244,0.0259079950799506
"113","FR9",13.0698080940912,60.1684958623593,23.9078664061892,6.27888117079167,0.0193033358542974
"114","FR90",30.4244358340273,31.4641957332873,35.6141859908276,6.10392054030422,0.000155103837171991
"115","FR91",30.8806319337635,30.7539873834217,35.5705856755607,6.08705322746185,0.000364405703724596
