"","X","HEXID","date","NDaysAbove10ms"
"579",579,"CT30","oct_2000",0
"580",580,"CT31","oct_2000",0
"581",581,"CT32","oct_2000",0
"582",582,"CT33","oct_2000",0
"583",583,"CT34","oct_2000",0
"584",584,"CT35","oct_2000",2
"585",585,"CT36","oct_2000",0
"586",586,"CT37","oct_2000",0
"587",587,"CT38","oct_2000",0
"588",588,"CT39","oct_2000",0
"589",589,"CT40","oct_2000",0
"590",590,"CT41","oct_2000",0
"591",591,"CT42","oct_2000",1
"592",592,"CT43","oct_2000",1
"593",593,"CT44","oct_2000",0
"594",594,"CT45","oct_2000",0
"595",595,"CT46","oct_2000",0
"596",596,"CT47","oct_2000",0
"597",597,"CT48","oct_2000",1
"598",598,"CT49","oct_2000",0
"599",599,"CT50","oct_2000",0
"600",600,"CT51","oct_2000",0
"601",601,"CT52","oct_2000",1
"602",602,"CT53","oct_2000",0
"603",603,"CT54","oct_2000",0
"604",604,"CT55","oct_2000",0
"605",605,"CT56","oct_2000",1
"606",606,"CT57","oct_2000",0
"607",607,"CT58","oct_2000",0
"608",608,"CT59","oct_2000",0
"609",609,"CT60","oct_2000",0
"610",610,"CT61","oct_2000",0
"611",611,"CT1","nov_2000",7
"612",612,"CT2","nov_2000",0
"613",613,"CT3","nov_2000",0
"614",614,"CT4","nov_2000",0
"615",615,"CT5","nov_2000",1
"616",616,"CT6","nov_2000",NA
"617",617,"CT7","nov_2000",0
"618",618,"CT8","nov_2000",0
"619",619,"CT9","nov_2000",0
"620",620,"CT10","nov_2000",0
"621",621,"CT11","nov_2000",0
"622",622,"CT12","nov_2000",0
"623",623,"CT13","nov_2000",NA
"624",624,"CT14","nov_2000",0
"625",625,"CT15","nov_2000",0
"626",626,"CT16","nov_2000",0
"627",627,"CT17","nov_2000",0
"628",628,"CT18","nov_2000",0
"629",629,"CT19","nov_2000",0
"630",630,"CT20","nov_2000",0
"631",631,"CT21","nov_2000",0
"632",632,"CT22","nov_2000",0
"633",633,"CT23","nov_2000",0
"634",634,"CT24","nov_2000",0
"635",635,"CT25","nov_2000",0
"636",636,"CT26","nov_2000",0
"637",637,"CT27","nov_2000",0
"638",638,"CT28","nov_2000",0
"639",639,"CT29","nov_2000",0
"640",640,"CT30","nov_2000",0
"641",641,"CT31","nov_2000",0
"642",642,"CT32","nov_2000",0
"643",643,"CT33","nov_2000",0
"644",644,"CT34","nov_2000",0
"645",645,"CT35","nov_2000",0
"646",646,"CT36","nov_2000",0
"647",647,"CT37","nov_2000",0
"648",648,"CT38","nov_2000",0
"649",649,"CT39","nov_2000",0
"650",650,"CT40","nov_2000",1
"651",651,"CT41","nov_2000",0
"652",652,"CT42","nov_2000",0
"653",653,"CT43","nov_2000",0
"654",654,"CT44","nov_2000",0
"655",655,"CT45","nov_2000",0
"656",656,"CT46","nov_2000",0
"657",657,"CT47","nov_2000",0
"658",658,"CT48","nov_2000",0
"659",659,"CT49","nov_2000",0
"660",660,"CT50","nov_2000",0
"661",661,"CT51","nov_2000",1
"662",662,"CT52","nov_2000",0
"663",663,"CT53","nov_2000",1
"664",664,"CT54","nov_2000",0
"665",665,"CT55","nov_2000",0
"666",666,"CT56","nov_2000",0
"667",667,"CT57","nov_2000",1
"668",668,"CT58","nov_2000",0
"669",669,"CT59","nov_2000",0
"670",670,"CT60","nov_2000",0
"671",671,"CT61","nov_2000",0
"672",672,"CT1","dec_2000",4
"673",673,"CT2","dec_2000",0
"674",674,"CT3","dec_2000",0
"675",675,"CT4","dec_2000",2
"676",676,"CT5","dec_2000",3
"677",677,"CT6","dec_2000",NA
"678",678,"CT7","dec_2000",0
"679",679,"CT8","dec_2000",0
"680",680,"CT9","dec_2000",1
"681",681,"CT10","dec_2000",1
"682",682,"CT11","dec_2000",1
"683",683,"CT12","dec_2000",0
"684",684,"CT13","dec_2000",NA
"685",685,"CT14","dec_2000",0
"686",686,"CT15","dec_2000",0
"687",687,"CT16","dec_2000",0
"688",688,"CT17","dec_2000",1
"689",689,"CT18","dec_2000",1
"690",690,"CT19","dec_2000",1
"691",691,"CT20","dec_2000",0
"692",692,"CT21","dec_2000",0
"693",693,"CT22","dec_2000",0
"694",694,"CT23","dec_2000",0
"695",695,"CT24","dec_2000",0
"696",696,"CT25","dec_2000",0
"697",697,"CT26","dec_2000",0
"698",698,"CT27","dec_2000",0
"699",699,"CT28","dec_2000",0
"700",700,"CT29","dec_2000",0
"701",701,"CT30","dec_2000",0
"702",702,"CT31","dec_2000",0
"703",703,"CT32","dec_2000",0
"704",704,"CT33","dec_2000",0
"705",705,"CT34","dec_2000",0
"706",706,"CT35","dec_2000",0
"707",707,"CT36","dec_2000",0
"708",708,"CT37","dec_2000",0
"709",709,"CT38","dec_2000",0
"710",710,"CT39","dec_2000",0
"711",711,"CT40","dec_2000",0
"712",712,"CT41","dec_2000",0
"713",713,"CT42","dec_2000",0
"714",714,"CT43","dec_2000",0
"715",715,"CT44","dec_2000",0
"716",716,"CT45","dec_2000",0
"717",717,"CT46","dec_2000",0
"718",718,"CT47","dec_2000",0
"719",719,"CT48","dec_2000",0
"720",720,"CT49","dec_2000",0
"721",721,"CT50","dec_2000",0
"722",722,"CT51","dec_2000",0
"723",723,"CT52","dec_2000",0
"724",724,"CT53","dec_2000",0
"725",725,"CT54","dec_2000",0
"726",726,"CT55","dec_2000",0
"727",727,"CT56","dec_2000",0
"728",728,"CT57","dec_2000",0
"729",729,"CT58","dec_2000",0
"730",730,"CT59","dec_2000",0
"731",731,"CT60","dec_2000",0
"732",732,"CT61","dec_2000",0
"733",733,"CT1","jan_2001",1
"734",734,"CT2","jan_2001",0
"735",735,"CT3","jan_2001",0
"736",736,"CT4","jan_2001",0
"737",737,"CT5","jan_2001",1
"738",738,"CT6","jan_2001",NA
"739",739,"CT7","jan_2001",0
"740",740,"CT8","jan_2001",0
"741",741,"CT9","jan_2001",0
"742",742,"CT10","jan_2001",0
"743",743,"CT11","jan_2001",0
"744",744,"CT12","jan_2001",0
"745",745,"CT13","jan_2001",NA
"746",746,"CT14","jan_2001",0
"747",747,"CT15","jan_2001",0
"748",748,"CT16","jan_2001",0
"749",749,"CT17","jan_2001",0
"750",750,"CT18","jan_2001",0
"751",751,"CT19","jan_2001",0
"752",752,"CT20","jan_2001",0
"753",753,"CT21","jan_2001",0
"754",754,"CT22","jan_2001",0
"755",755,"CT23","jan_2001",0
"756",756,"CT24","jan_2001",0
"757",757,"CT25","jan_2001",0
"758",758,"CT26","jan_2001",0
"759",759,"CT27","jan_2001",0
"760",760,"CT28","jan_2001",0
"761",761,"CT29","jan_2001",0
"762",762,"CT30","jan_2001",0
"763",763,"CT31","jan_2001",0
"764",764,"CT32","jan_2001",0
"765",765,"CT33","jan_2001",0
"766",766,"CT34","jan_2001",0
"767",767,"CT35","jan_2001",0
"768",768,"CT36","jan_2001",0
"769",769,"CT37","jan_2001",0
"770",770,"CT38","jan_2001",0
"771",771,"CT39","jan_2001",0
"772",772,"CT40","jan_2001",0
"773",773,"CT41","jan_2001",0
"774",774,"CT42","jan_2001",0
