"","HEXID","date","NDaysAbove5ms"
"186396","CT10","jun_2018",16
"174","CT10","mar_2000",12
"2142","CT10","mar_2001",14
"5094","CT10","mar_2002",17
"9030","CT10","mar_2003",17
"13950","CT10","mar_2004",12
"19854","CT10","mar_2005",16
"26742","CT10","mar_2006",21
"34614","CT10","mar_2007",12
"43470","CT10","mar_2008",20
"53310","CT10","mar_2009",15
"64134","CT10","mar_2010",16
"75942","CT10","mar_2011",21
"88734","CT10","mar_2012",20
"102510","CT10","mar_2013",17
"117270","CT10","mar_2014",18
"133014","CT10","mar_2015",6
"149742","CT10","mar_2016",15
"167454","CT10","mar_2017",15
"186150","CT10","mar_2018",17
"338","CT10","may_2000",20
"2306","CT10","may_2001",11
"5258","CT10","may_2002",18
"9194","CT10","may_2003",19
"14114","CT10","may_2004",24
"20018","CT10","may_2005",23
"26906","CT10","may_2006",16
"34778","CT10","may_2007",13
"43634","CT10","may_2008",18
"53474","CT10","may_2009",20
"64298","CT10","may_2010",21
"76106","CT10","may_2011",21
"88898","CT10","may_2012",18
"102674","CT10","may_2013",22
"117434","CT10","may_2014",21
"133178","CT10","may_2015",17
"149906","CT10","may_2016",22
"167618","CT10","may_2017",13
"186314","CT10","may_2018",19
"830","CT10","nov_2000",14
"2798","CT10","nov_2001",9
"5750","CT10","nov_2002",12
"9686","CT10","nov_2003",13
"14606","CT10","nov_2004",10
"20510","CT10","nov_2005",14
"27398","CT10","nov_2006",15
"35270","CT10","nov_2007",6
"44126","CT10","nov_2008",11
"53966","CT10","nov_2009",13
"64790","CT10","nov_2010",19
"76598","CT10","nov_2011",14
"89390","CT10","nov_2012",11
"103166","CT10","nov_2013",8
"117926","CT10","nov_2014",17
"133670","CT10","nov_2015",14
"150398","CT10","nov_2016",10
"168110","CT10","nov_2017",17
"186806","CT10","nov_2018",15
"748","CT10","oct_2000",12
"2716","CT10","oct_2001",11
"5668","CT10","oct_2002",9
"9604","CT10","oct_2003",8
"14524","CT10","oct_2004",13
"20428","CT10","oct_2005",13
"27316","CT10","oct_2006",16
"35188","CT10","oct_2007",16
"44044","CT10","oct_2008",11
"53884","CT10","oct_2009",14
"64708","CT10","oct_2010",12
"76516","CT10","oct_2011",6
"89308","CT10","oct_2012",12
"103084","CT10","oct_2013",13
"117844","CT10","oct_2014",7
"133588","CT10","oct_2015",6
"150316","CT10","oct_2016",18
"168028","CT10","oct_2017",12
"186724","CT10","oct_2018",10
"666","CT10","sep_2000",7
"2634","CT10","sep_2001",4
"5586","CT10","sep_2002",11
"9522","CT10","sep_2003",7
"14442","CT10","sep_2004",8
"20346","CT10","sep_2005",11
"27234","CT10","sep_2006",11
"35106","CT10","sep_2007",12
"43962","CT10","sep_2008",6
"53802","CT10","sep_2009",10
"64626","CT10","sep_2010",6
"76434","CT10","sep_2011",3
"89226","CT10","sep_2012",3
"103002","CT10","sep_2013",6
"117762","CT10","sep_2014",5
"133506","CT10","sep_2015",6
"150234","CT10","sep_2016",8
"167946","CT10","sep_2017",9
"186642","CT10","sep_2018",9
"257","CT11","apr_2000",NA
"2225","CT11","apr_2001",NA
"5177","CT11","apr_2002",NA
"9113","CT11","apr_2003",NA
"14033","CT11","apr_2004",NA
"19937","CT11","apr_2005",NA
"26825","CT11","apr_2006",NA
"34697","CT11","apr_2007",NA
"43553","CT11","apr_2008",NA
"53393","CT11","apr_2009",NA
"64217","CT11","apr_2010",NA
"76025","CT11","apr_2011",NA
"88817","CT11","apr_2012",NA
"102593","CT11","apr_2013",NA
"117353","CT11","apr_2014",NA
"133097","CT11","apr_2015",NA
"149825","CT11","apr_2016",NA
"167537","CT11","apr_2017",NA
"186233","CT11","apr_2018",NA
"585","CT11","aug_2000",NA
"2553","CT11","aug_2001",NA
"5505","CT11","aug_2002",NA
"9441","CT11","aug_2003",NA
"14361","CT11","aug_2004",NA
"20265","CT11","aug_2005",NA
"27153","CT11","aug_2006",NA
"35025","CT11","aug_2007",NA
"43881","CT11","aug_2008",NA
"53721","CT11","aug_2009",NA
"64545","CT11","aug_2010",NA
"76353","CT11","aug_2011",NA
"89145","CT11","aug_2012",NA
"102921","CT11","aug_2013",NA
"117681","CT11","aug_2014",NA
"133425","CT11","aug_2015",NA
"150153","CT11","aug_2016",NA
"167865","CT11","aug_2017",NA
"186561","CT11","aug_2018",NA
"913","CT11","dec_2000",NA
"2881","CT11","dec_2001",NA
"5833","CT11","dec_2002",NA
"9769","CT11","dec_2003",NA
"14689","CT11","dec_2004",NA
"20593","CT11","dec_2005",NA
"27481","CT11","dec_2006",NA
"35353","CT11","dec_2007",NA
"44209","CT11","dec_2008",NA
"54049","CT11","dec_2009",NA
"64873","CT11","dec_2010",NA
"76681","CT11","dec_2011",NA
"89473","CT11","dec_2012",NA
"103249","CT11","dec_2013",NA
"118009","CT11","dec_2014",NA
"133753","CT11","dec_2015",NA
"150481","CT11","dec_2016",NA
"168193","CT11","dec_2017",NA
"186889","CT11","dec_2018",NA
"93","CT11","feb_2000",NA
"2061","CT11","feb_2001",NA
"5013","CT11","feb_2002",NA
"8949","CT11","feb_2003",NA
"13869","CT11","feb_2004",NA
"19773","CT11","feb_2005",NA
"26661","CT11","feb_2006",NA
"34533","CT11","feb_2007",NA
"43389","CT11","feb_2008",NA
"53229","CT11","feb_2009",NA
"64053","CT11","feb_2010",NA
"75861","CT11","feb_2011",NA
"88653","CT11","feb_2012",NA
"102429","CT11","feb_2013",NA
"117189","CT11","feb_2014",NA
"132933","CT11","feb_2015",NA
"149661","CT11","feb_2016",NA
"167373","CT11","feb_2017",NA
"186069","CT11","feb_2018",NA
"11","CT11","jan_2000",NA
"1979","CT11","jan_2001",NA
"4931","CT11","jan_2002",NA
"8867","CT11","jan_2003",NA
"13787","CT11","jan_2004",NA
"19691","CT11","jan_2005",NA
"26579","CT11","jan_2006",NA
"34451","CT11","jan_2007",NA
"43307","CT11","jan_2008",NA
"53147","CT11","jan_2009",NA
"63971","CT11","jan_2010",NA
"75779","CT11","jan_2011",NA
"88571","CT11","jan_2012",NA
"102347","CT11","jan_2013",NA
"117107","CT11","jan_2014",NA
"132851","CT11","jan_2015",NA
"149579","CT11","jan_2016",NA
"167291","CT11","jan_2017",NA
"185987","CT11","jan_2018",NA
"503","CT11","jul_2000",NA
"2471","CT11","jul_2001",NA
"5423","CT11","jul_2002",NA
"9359","CT11","jul_2003",NA
"14279","CT11","jul_2004",NA
"20183","CT11","jul_2005",NA
"27071","CT11","jul_2006",NA
"34943","CT11","jul_2007",NA
"43799","CT11","jul_2008",NA
"53639","CT11","jul_2009",NA
"64463","CT11","jul_2010",NA
"76271","CT11","jul_2011",NA
"89063","CT11","jul_2012",NA
"102839","CT11","jul_2013",NA
"117599","CT11","jul_2014",NA
"133343","CT11","jul_2015",NA
"150071","CT11","jul_2016",NA
"167783","CT11","jul_2017",NA
"186479","CT11","jul_2018",NA
"421","CT11","jun_2000",NA
"2389","CT11","jun_2001",NA
"5341","CT11","jun_2002",NA
"9277","CT11","jun_2003",NA
"14197","CT11","jun_2004",NA
"20101","CT11","jun_2005",NA
"26989","CT11","jun_2006",NA
"34861","CT11","jun_2007",NA
"43717","CT11","jun_2008",NA
"53557","CT11","jun_2009",NA
"64381","CT11","jun_2010",NA
"76189","CT11","jun_2011",NA
"88981","CT11","jun_2012",NA
"102757","CT11","jun_2013",NA
"117517","CT11","jun_2014",NA
"133261","CT11","jun_2015",NA
"149989","CT11","jun_2016",NA
"167701","CT11","jun_2017",NA
"186397","CT11","jun_2018",NA
"175","CT11","mar_2000",NA
"2143","CT11","mar_2001",NA
"5095","CT11","mar_2002",NA
"9031","CT11","mar_2003",NA
"13951","CT11","mar_2004",NA
"19855","CT11","mar_2005",NA
"26743","CT11","mar_2006",NA
"34615","CT11","mar_2007",NA
"43471","CT11","mar_2008",NA
"53311","CT11","mar_2009",NA
"64135","CT11","mar_2010",NA
"75943","CT11","mar_2011",NA
"88735","CT11","mar_2012",NA
"102511","CT11","mar_2013",NA
"117271","CT11","mar_2014",NA
"133015","CT11","mar_2015",NA
"149743","CT11","mar_2016",NA
"167455","CT11","mar_2017",NA
"186151","CT11","mar_2018",NA
"339","CT11","may_2000",NA
"2307","CT11","may_2001",NA
"5259","CT11","may_2002",NA
"9195","CT11","may_2003",NA
"14115","CT11","may_2004",NA
"20019","CT11","may_2005",NA
"26907","CT11","may_2006",NA
"34779","CT11","may_2007",NA
"43635","CT11","may_2008",NA
"53475","CT11","may_2009",NA
"64299","CT11","may_2010",NA
"76107","CT11","may_2011",NA
"88899","CT11","may_2012",NA
"102675","CT11","may_2013",NA
"117435","CT11","may_2014",NA
"133179","CT11","may_2015",NA
"149907","CT11","may_2016",NA
"167619","CT11","may_2017",NA
"186315","CT11","may_2018",NA
"831","CT11","nov_2000",NA
"2799","CT11","nov_2001",NA
"5751","CT11","nov_2002",NA
"9687","CT11","nov_2003",NA
"14607","CT11","nov_2004",NA
"20511","CT11","nov_2005",NA
"27399","CT11","nov_2006",NA
"35271","CT11","nov_2007",NA
"44127","CT11","nov_2008",NA
"53967","CT11","nov_2009",NA
"64791","CT11","nov_2010",NA
"76599","CT11","nov_2011",NA
"89391","CT11","nov_2012",NA
"103167","CT11","nov_2013",NA
"117927","CT11","nov_2014",NA
"133671","CT11","nov_2015",NA
"150399","CT11","nov_2016",NA
"168111","CT11","nov_2017",NA
"186807","CT11","nov_2018",NA
"749","CT11","oct_2000",NA
"2717","CT11","oct_2001",NA
"5669","CT11","oct_2002",NA
"9605","CT11","oct_2003",NA
"14525","CT11","oct_2004",NA
"20429","CT11","oct_2005",NA
"27317","CT11","oct_2006",NA
"35189","CT11","oct_2007",NA
"44045","CT11","oct_2008",NA
"53885","CT11","oct_2009",NA
"64709","CT11","oct_2010",NA
"76517","CT11","oct_2011",NA
"89309","CT11","oct_2012",NA
"103085","CT11","oct_2013",NA
"117845","CT11","oct_2014",NA
"133589","CT11","oct_2015",NA
"150317","CT11","oct_2016",NA
"168029","CT11","oct_2017",NA
"186725","CT11","oct_2018",NA
"667","CT11","sep_2000",NA
"2635","CT11","sep_2001",NA
"5587","CT11","sep_2002",NA
"9523","CT11","sep_2003",NA
"14443","CT11","sep_2004",NA
"20347","CT11","sep_2005",NA
"27235","CT11","sep_2006",NA
"35107","CT11","sep_2007",NA
"43963","CT11","sep_2008",NA
"53803","CT11","sep_2009",NA
"64627","CT11","sep_2010",NA
"76435","CT11","sep_2011",NA
"89227","CT11","sep_2012",NA
"103003","CT11","sep_2013",NA
"117763","CT11","sep_2014",NA
"133507","CT11","sep_2015",NA
"150235","CT11","sep_2016",NA
"167947","CT11","sep_2017",NA
"186643","CT11","sep_2018",NA
"258","CT12","apr_2000",13
"2226","CT12","apr_2001",17
"5178","CT12","apr_2002",12
"9114","CT12","apr_2003",10
"14034","CT12","apr_2004",12
"19938","CT12","apr_2005",17
"26826","CT12","apr_2006",9
"34698","CT12","apr_2007",18
"43554","CT12","apr_2008",18
"53394","CT12","apr_2009",17
"64218","CT12","apr_2010",14
"76026","CT12","apr_2011",18
"88818","CT12","apr_2012",15
"102594","CT12","apr_2013",13
"117354","CT12","apr_2014",13
"133098","CT12","apr_2015",15
"149826","CT12","apr_2016",13
"167538","CT12","apr_2017",15
"186234","CT12","apr_2018",13
"586","CT12","aug_2000",5
"2554","CT12","aug_2001",4
"5506","CT12","aug_2002",5
"9442","CT12","aug_2003",8
"14362","CT12","aug_2004",4
"20266","CT12","aug_2005",2
"27154","CT12","aug_2006",1
"35026","CT12","aug_2007",8
"43882","CT12","aug_2008",4
"53722","CT12","aug_2009",3
"64546","CT12","aug_2010",3
"76354","CT12","aug_2011",2
"89146","CT12","aug_2012",4
"102922","CT12","aug_2013",6
"117682","CT12","aug_2014",2
"133426","CT12","aug_2015",3
"150154","CT12","aug_2016",2
"167866","CT12","aug_2017",0
"186562","CT12","aug_2018",5
"914","CT12","dec_2000",6
"2882","CT12","dec_2001",12
"5834","CT12","dec_2002",8
"9770","CT12","dec_2003",6
"14690","CT12","dec_2004",9
"20594","CT12","dec_2005",7
"27482","CT12","dec_2006",9
"35354","CT12","dec_2007",14
"44210","CT12","dec_2008",11
"54050","CT12","dec_2009",7
"64874","CT12","dec_2010",10
"76682","CT12","dec_2011",5
"89474","CT12","dec_2012",8
"103250","CT12","dec_2013",5
"118010","CT12","dec_2014",11
"133754","CT12","dec_2015",9
"150482","CT12","dec_2016",12
"168194","CT12","dec_2017",6
"186890","CT12","dec_2018",9
"94","CT12","feb_2000",10
"2062","CT12","feb_2001",11
