"hexid","month","observed","predicted","CI.lower","CI.upper"
"FR25",-24,0,0.116449183673874,-6.70596523107784,6.93886359842558
"FR29",-24,0,0.490213294824788,-1.20968767728844,2.19011426693802
"FR32",-24,2,0.896492312807744,-3.23894491655567,5.03192954217116
"FR38",-24,3,1.11642506427912,-1.45232880009615,3.68517892865439
"FR41",-24,0,0.962313647882448,-2.81495475556719,4.73958205133209
"FR44",-24,2,0.307907839562714,-1.64918697546648,2.26500265459191
"FR47",-24,0,0.166386235528787,-2.93709500211345,3.26986747317102
"FR5",-24,1,1.35077729019693,-0.457342364688348,3.15889694508221
"FR76",-24,0,-0.212006190673881,-2.62663913145981,2.20262675011204
"FR77",-24,0,-0.0121138194515724,-2.00454493969674,1.9803173007936
"FR81",-24,0,0.621501910123282,-2.53349539594945,3.77649921619602
"FR89",-24,0,-0.267218327316263,-1.72464382448992,1.1902071698574
"FR91",-24,0,0.654084723680596,-1.10667702655234,2.41484647391353
"FR92",-24,2,1.30141097021899,-1.34541230274303,3.94823424318101
"ALL",-23,0.497387431911604,0.46828516888073,-0.0257116954417196,0.96228203320318
"ALL Over 10",-23,0.781782335911453,0.735891073392675,0.103482105176626,1.36830004160873
"ALL Under 10",-23,0.0522427042614969,0.0494191631748274,-0.741783484561994,0.840621810911649
"FR12",-23,2,2.13825494454125,0.624676493890822,3.65183339519168
"FR13",-23,1,0.890389923183291,-2.31428194611401,4.09506179248059
"FR18",-23,0,-0.0374552266049513,-3.24815446855233,3.17324401534243
"FR21",-23,1,0.0994367288550131,-1.58502825231504,1.78390171002506
"FR23",-23,0,-0.21941981894492,-2.94439384008334,2.5055542021935
"FR25",-23,0,0.178454100505174,-6.04429096430575,6.40119916531609
"FR29",-23,0,0.214971412650878,-1.12898219258829,1.55892501789005
"FR32",-23,2,0.944316238165429,-2.9226318865984,4.81126436292926
"FR38",-23,0,0.496142322543379,-1.42193011209514,2.41421475718189
"FR41",-23,0,0.250159856324269,-2.99040293549759,3.49072264814613
"FR44",-23,0,0.125118855545998,-1.62232937235932,1.87256708345132
"FR47",-23,0,-0.0802883715727705,-2.36358147934503,2.20300473619949
"FR5",-23,1,0.721015408189051,-1.70957361498896,3.15160443136706
"FR76",-23,0,0.107393579000346,-2.01447398857936,2.22926114658005
"FR77",-23,0,0.00887148117232239,-1.66113801428873,1.67888097663337
"FR81",-23,1,0.583152280032127,-2.87843197836835,4.0447365384326
"FR89",-23,0,0.0398914957524665,-2.48776744739265,2.56755043889759
"FR91",-23,1,0.589608928587514,-1.15405261732708,2.3332704745021
"FR92",-23,0,0.998065537004983,-1.79352544782229,3.78965652183225
"ALL",-22,0.427338440223141,0.30975277023652,-0.274427249501832,0.893932789974871
"ALL Over 10",-22,0.904728041964047,0.60278008577174,-0.247221516786273,1.45278168832975
"ALL Under 10",-22,0,0.0474474424561369,-0.756762146663739,0.851657031576013
"FR12",-22,3,2.46938633247852,-0.80173769971116,5.7405103646682
"FR13",-22,1,0.990645227832671,-1.24944234946575,3.23073280513109
"FR18",-22,0,0.121303232775166,-3.32538050883048,3.56798697438082
"FR21",-22,0,-0.292643480247492,-2.43407951954288,1.8487925590479
"FR23",-22,0,0.071673158054204,-2.75577391166332,2.89912022777173
"FR25",-22,0,0.195855155922366,-4.05291976166259,4.44463007350732
"FR29",-22,1,0.2029352841013,-1.57715393470489,1.98302450290749
"FR32",-22,0,1.16153809062147,-5.2823155294272,7.60539171067014
"FR38",-22,2,1.29361162533144,-1.99220217393823,4.57942542460111
"FR41",-22,1,0.441023457358808,-2.82116147310409,3.70320838782171
"FR44",-22,0,0.182344562003397,-2.13130427267125,2.49599339667805
"FR47",-22,0,-0.222508470868577,-2.7451736560347,2.30015671429755
"FR5",-22,1,0.755378588732371,-2.32054929654228,3.83130647400702
"FR76",-22,0,0.00190718654032129,-1.72121484206395,1.72502921514459
"FR77",-22,0,0.053919287041486,-1.83733934203118,1.94517791611416
"FR81",-22,0,0.0827333747087838,-2.45072586068552,2.61619261010309
"FR89",-22,0,0.0944981934797795,-2.36433664786688,2.55333303482643
"FR91",-22,0,0.64456432696609,-1.78617798077162,3.0753066347038
"FR92",-22,1,0.384448041587508,-3.34044709552011,4.10934317869512
"ALL",-21,0.496662503758858,0.655823270596335,0.0497257066967137,1.26192083449596
"ALL Over 10",-21,0.790215520645529,1.15328633181436,0.302943061889889,2.00362960173882
"ALL Under 10",-21,0.193516504541714,0.142103676207784,-0.72202203094157,1.00622938335714
"FR12",-21,2,2.26193914329999,0.547697645439617,3.97618064116036
"FR13",-21,1,1.22620388489966,-1.85536545384533,4.30777322364465
"FR18",-21,1,0.095587945039469,-3.37799635306355,3.56917224314249
"FR21",-21,0,0.602101147713564,-1.3606580092854,2.56486030471253
"FR23",-21,0,0.553633349607009,-2.24552328774079,3.35278998695481
"FR25",-21,0,-0.14121300245235,-4.85805833857502,4.57563233367032
"FR29",-21,1,0.364296602091057,-1.82602552941441,2.55461873359652
"FR32",-21,1,1.83598738403709,-4.5380941637859,8.21006893186009
"FR38",-21,0,1.37159833113908,-2.53582000177841,5.27901666405657
"FR41",-21,1,0.538874643765996,-3.13995302394674,4.21770231147874
"FR44",-21,0,0.404650354042926,-2.34977510574667,3.15907581383252
"FR47",-21,0,-0.119279280078446,-2.45040521416997,2.21184665401308
"FR5",-21,0,1.59500304872255,-2.20360060634053,5.39360670378563
"FR76",-21,0,0.164804661293299,-2.74414360896339,3.07375293154999
"FR77",-21,0,-0.0679355357985337,-1.73781240850857,1.60194133691151
"FR81",-21,2,0.554531961199568,-2.8138008998674,3.92286482226654
"FR89",-21,0,0.210339437187007,-2.00920889595432,2.42988777032833
"FR91",-21,0,1.15809267922171,-1.61875038418505,3.93493574262847
"FR92",-21,0,0.26613211335321,-2.80019644804568,3.3324606747521
"ALL",-20,0.217361492942909,0.358947463953438,-0.247601139385945,0.965496067292822
"ALL Over 10",-20,0.387984463107291,0.618322994389184,-0.192043488549331,1.4286894773277
"ALL Under 10",-20,0,0.0285215402102503,-0.886126536365267,0.943169616785768
"FR12",-20,3,1.56230285315001,-1.33643134563538,4.4610370519354
"FR13",-20,0,1.13903642862277,-1.44357263273188,3.72164548997742
"FR18",-20,0,0.290279476817637,-5.61757325513851,6.19813220877379
"FR21",-20,0,0.45097373977407,-2.05335092066018,2.95529840020832
"FR23",-20,0,0.0176788412276974,-2.89765330108978,2.93301098354518
"FR25",-20,0,-0.173558563992538,-4.68650710142508,4.33938997344001
