"","HEXID","year","population"
"764","FR91",2004,50378.7849490983
"765","FR92",2004,12389.1125791183
"766","CT1",2005,80765.3825560161
"767","CT10",2005,30688.4271836877
"768","CT11",2005,32686.0779799076
"769","CT12",2005,3134.5578332352
"770","CT13",2005,124986.983833675
"771","CT14",2005,2081.49551300198
"772","CT15",2005,768.636220612052
"773","CT16",2005,129887.847448844
"774","CT17",2005,395194.943142498
"775","CT18",2005,1590.11680237602
"776","CT19",2005,2593.59758702245
"777","CT2",2005,544.462675416124
"778","CT20",2005,254.919522792362
"779","CT21",2005,10466.1424892396
"780","CT22",2005,46758.0875580762
"781","CT23",2005,368.424930238871
"782","CT24",2005,13667.4886451324
"783","CT25",2005,68987.3516575819
"784","CT26",2005,11375.5497685304
"785","CT27",2005,2583.3246523493
"786","CT28",2005,31400.4832817728
"787","CT29",2005,1400.6575953462
"788","CT3",2005,5578.90279764434
"789","CT30",2005,31921.7511428912
"790","CT31",2005,8707.9890107799
"791","CT32",2005,109223.169813611
"792","CT33",2005,78865.9630239092
"793","CT34",2005,34.8797369706171
"794","CT35",2005,62.3521940674998
"795","CT36",2005,932.608099992388
"796","CT37",2005,21471.2253820541
"797","CT38",2005,190948.690892282
"798","CT39",2005,154120.805286804
"799","CT4",2005,152357.434547374
"800","CT40",2005,330.717135794861
"801","CT41",2005,875.229142528334
"802","CT42",2005,814.055294886493
"803","CT43",2005,32602.910371275
"804","CT44",2005,662139.458754857
"805","CT45",2005,102232.636457654
"806","CT46",2005,1163.28157241591
"807","CT47",2005,672.1160691755
"808","CT48",2005,17327.6253560593
"809","CT49",2005,22973.996082237
"810","CT5",2005,220551.585721331
"811","CT50",2005,733.632847526185
"812","CT51",2005,109.42674521301
"813","CT52",2005,25233.8414623034
"814","CT53",2005,482.505839573298
"815","CT54",2005,1911.53875378578
"816","CT55",2005,204840.152772169
"817","CT56",2005,441064.699409951
"818","CT57",2005,8689.86709129094
"819","CT58",2005,375399.128126935
"820","CT59",2005,429972.204687054
"821","CT6",2005,205615.108915669
"822","CT60",2005,22500.0866459482
"823","CT61",2005,88225.6111005972
"824","CT7",2005,341.259287031476
"825","CT8",2005,18384.1152007683
"826","CT9",2005,4690.11218188487
"827","FR1",2005,447.632791976185
"828","FR10",2005,1508.79693649814
"829","FR11",2005,1958.28938035814
"830","FR12",2005,131684.725121734
"831","FR13",2005,170281.741743178
"832","FR14",2005,12118.8577542103
"833","FR15",2005,81958.4869781596
"834","FR16",2005,22358.0103867349
"835","FR17",2005,10005.22928473
"836","FR18",2005,768.974753955541
"837","FR19",2005,11308.2386430559
"838","FR2",2005,337.057849820455
"839","FR20",2005,287.91471655207
"840","FR21",2005,10991.6791887934
"841","FR22",2005,2157.88701006242
"842","FR23",2005,248.812383641056
"843","FR24",2005,5.22989854493274
"844","FR25",2005,1663.80236735822
"845","FR26",2005,60.1850624205154
"846","FR27",2005,71071.6923504929
"847","FR28",2005,31272.5161838849
"848","FR29",2005,6103.44055070182
"849","FR3",2005,49780.445759968
"850","FR30",2005,24192.2792667782
"851","FR31",2005,120118.618934042
"852","FR32",2005,31993.3764687251
"853","FR33",2005,129383.481740571
"854","FR34",2005,2673.91824380024
"855","FR35",2005,239.590077625065
"856","FR36",2005,648.563535726469
"857","FR37",2005,1038.17184447903
"858","FR38",2005,58121.1759586345
"859","FR39",2005,125.09997780244
"860","FR4",2005,30098.2827471087
"861","FR40",2005,13087.8344850537
"862","FR41",2005,4943.03583238014
"863","FR42",2005,360.96715620248
"864","FR43",2005,7874.19005672274
"865","FR44",2005,3964.55558088232
"866","FR45",2005,392.07557634758
"867","FR46",2005,82759.3111970289
"868","FR47",2005,1337.26909545303
"869","FR48",2005,206.078316069418
"870","FR49",2005,31779.9957922947
