"","hexid","TE","seTE","period","OmittedControl"
"699","FR25",-1.33993610060399,9.22621142572127,"13-24","CT56"
"700","FR25",-3.34419349430674,10.0976558860167,"25-36","CT56"
"701","FR25",-3.47288953409364,18.0469487315123,"0-36","CT57"
"702","FR25",2.21326474796908,9.40352201560089,"0-12","CT57"
"703","FR25",-1.75309065718589,10.6990943066532,"13-24","CT57"
"704","FR25",-3.93306362487683,11.0813136963667,"25-36","CT57"
"705","FR25",-3.40556408802202,20.0981139657973,"0-36","CT58"
"706","FR25",2.14270727090367,10.6959404729494,"0-12","CT58"
"707","FR25",-1.76864325032851,12.0253830532747,"13-24","CT58"
"708","FR25",-3.77962810859718,12.0383223417266,"25-36","CT58"
"709","FR25",-3.19698999394708,19.0034731632199,"0-36","CT59"
"710","FR25",2.20726138227031,10.120888986707,"0-12","CT59"
"711","FR25",-1.68328025101873,11.2220750600244,"13-24","CT59"
"712","FR25",-3.72097112519866,11.5223534805677,"25-36","CT59"
"713","FR25",-3.39450790931866,18.9054181072803,"0-36","CT60"
"714","FR25",2.25447162814837,9.7653019068439,"0-12","CT60"
"715","FR25",-1.73928932364301,11.1960968728408,"13-24","CT60"
"716","FR25",-3.90969021382403,11.6919257307441,"25-36","CT60"
"717","FR25",-3.38376190778126,20.3628064222599,"0-36","CT61"
"718","FR25",2.16383567665755,10.9374711108206,"0-12","CT61"
"719","FR25",-1.77123456942652,12.0357017810157,"13-24","CT61"
"720","FR25",-3.77636301501229,12.2538766816404,"25-36","CT61"
"721","FR25",-3.64936720501676,18.833393913755,"0-36","CT9"
"722","FR25",2.2312279926728,9.75987870407935,"0-12","CT9"
"723","FR25",-1.83224263850541,11.119542015948,"13-24","CT9"
"724","FR25",-4.04835255918415,11.6532089721197,"25-36","CT9"
"725","FR47",-0.482141500414356,10.8605829038537,"0-36","CT1"
"726","FR47",-1.12267285634902,6.14785042476844,"0-12","CT1"
"727","FR47",1.11696208286302,5.19927654948399,"13-24","CT1"
"728","FR47",-0.476430726928361,7.28860202838242,"25-36","CT1"
"729","FR47",-1.16158536748834,10.906595457877,"0-36","CT12"
"730","FR47",-1.38221512954873,6.16667517301449,"0-12","CT12"
"731","FR47",0.989793953493005,5.25799054329328,"13-24","CT12"
"732","FR47",-0.76916419143262,7.29927922735862,"25-36","CT12"
"733","FR47",3.19260790679269,11.2786545300122,"0-36","CT13"
"734","FR47",0.531390043948897,6.27032794912027,"0-12","CT13"
"735","FR47",1.79296791543742,5.30646715949318,"13-24","CT13"
"736","FR47",0.868249947406373,7.72867658160612,"25-36","CT13"
"737","FR47",-2.42518988727095,7.74975364508658,"0-36","CT16"
"738","FR47",-1.23675932853916,4.72444651873083,"0-12","CT16"
"739","FR47",0.554416099284052,4.22829319030802,"13-24","CT16"
"740","FR47",-1.74284665801584,4.45643617120001,"25-36","CT16"
"741","FR47",-0.912152305923435,11.2894072584492,"0-36","CT19"
"742","FR47",-1.33664897098165,6.33695272463192,"0-12","CT19"
"743","FR47",0.995391701952402,5.37529382145892,"13-24","CT19"
"744","FR47",-0.57089503689419,7.64198683235518,"25-36","CT19"
"745","FR47",-0.894720122348964,11.8573194087281,"0-36","CT2"
"746","FR47",-1.33865237411139,6.65481133216961,"0-12","CT2"
"747","FR47",1.0241095546577,5.57743945119873,"13-24","CT2"
"748","FR47",-0.580177302895275,8.07475565339531,"25-36","CT2"
"749","FR47",-1.00266660788934,11.7285687598594,"0-36","CT20"
"750","FR47",-1.35587409675862,6.59256421152865,"0-12","CT20"
"751","FR47",0.982129383177069,5.62806465784272,"13-24","CT20"
"752","FR47",-0.628921894307787,7.90077910580736,"25-36","CT20"
"753","FR47",1.25559690916918,11.8440281245381,"0-36","CT22"
"754","FR47",-0.219466186067864,6.7313244127193,"0-12","CT22"
"755","FR47",1.34973894590385,5.2699576364387,"13-24","CT22"
"756","FR47",0.125324149333188,8.19742766822124,"25-36","CT22"
"757","FR47",1.63586150648252,11.1118518346527,"0-36","CT25"
"758","FR47",-0.19709509552194,6.16146583669007,"0-12","CT25"
"759","FR47",1.55087236187942,5.29557042529693,"13-24","CT25"
"760","FR47",0.282084240125035,7.58066776803315,"25-36","CT25"
"761","FR47",-0.108542395717564,11.8477463144561,"0-36","CT28"
"762","FR47",-1.38847354974817,6.74309565952218,"0-12","CT28"
"763","FR47",1.10972672939552,5.52980166268979,"13-24","CT28"
"764","FR47",0.170204424635082,8.02004035086827,"25-36","CT28"
"765","FR47",-0.920081023907787,11.0874093404164,"0-36","CT29"
"766","FR47",-1.33845825844981,6.28818477492804,"0-12","CT29"
"767","FR47",1.04831480503667,5.2685896086666,"13-24","CT29"
"768","FR47",-0.629937570494644,7.45864207840585,"25-36","CT29"
"769","FR47",-0.859939065595087,11.9852299779007,"0-36","CT31"
"770","FR47",-1.32124759910513,6.64860804037606,"0-12","CT31"
"771","FR47",0.939872074508456,5.628891384407,"13-24","CT31"
"772","FR47",-0.478563540998415,8.23148410258832,"25-36","CT31"
"773","FR47",-2.34438535445226,10.172672537936,"0-36","CT32"
"774","FR47",-1.35330171891913,5.76407577559004,"0-12","CT32"
"775","FR47",0.59469001797314,4.72884380419139,"13-24","CT32"
"776","FR47",-1.58577365350627,6.92074658493533,"25-36","CT32"
"777","FR47",-0.881867570511289,11.9023325762039,"0-36","CT37"
"778","FR47",-1.38655117708828,6.62033542669794,"0-12","CT37"
"779","FR47",1.11895500801781,5.55101459682672,"13-24","CT37"
"780","FR47",-0.614271401440818,8.18675250257332,"25-36","CT37"
"781","FR47",2.02452933347732,12.1135963429703,"0-36","CT38"
"782","FR47",-0.321405959484455,7.02321383592738,"0-12","CT38"
"783","FR47",1.43652468941535,6.01485444564024,"13-24","CT38"
"784","FR47",0.909410603546426,7.82529295125894,"25-36","CT38"
"785","FR47",-1.35925424301723,12.2414603091203,"0-36","CT4"
"786","FR47",-1.32482262010601,7.23995418855312,"0-12","CT4"
"787","FR47",0.742104396282861,5.87299298623706,"13-24","CT4"
"788","FR47",-0.776536019194078,7.93374862413913,"25-36","CT4"
"789","FR47",-0.659289633162179,11.4609823827217,"0-36","CT42"
"790","FR47",-1.19650497236608,6.40243308917708,"0-12","CT42"
"791","FR47",1.04633929962826,5.41542841167476,"13-24","CT42"
"792","FR47",-0.509123960424363,7.81256058112142,"25-36","CT42"
"793","FR47",-1.28654701311509,11.6863343950883,"0-36","CT43"
"794","FR47",-1.39633223054652,6.5038804332051,"0-12","CT43"
"795","FR47",0.767507333634625,5.50405607816944,"13-24","CT43"
"796","FR47",-0.657722116203188,7.99845720078324,"25-36","CT43"
"797","FR47",0.763585097681527,11.1089393538645,"0-36","CT44"
"798","FR47",-0.343274590153059,6.50825178157568,"0-12","CT44"
"799","FR47",0.85861708460618,5.51589937886043,"13-24","CT44"
"800","FR47",0.248242603228406,7.11519826552599,"25-36","CT44"
"801","FR47",-0.990332772654482,11.8838499863355,"0-36","CT47"
"802","FR47",-1.38452947305602,6.64814463808829,"0-12","CT47"
"803","FR47",1.01026908533937,5.5584522474133,"13-24","CT47"
"804","FR47",-0.616072384937832,8.13213821709948,"25-36","CT47"
"805","FR47",-0.55936203557241,11.220293727118,"0-36","CT48"
"806","FR47",-1.15027670642044,6.3391187905154,"0-12","CT48"
"807","FR47",1.06071857231247,5.33966431667017,"13-24","CT48"
"808","FR47",-0.469803901464441,7.56297225089557,"25-36","CT48"
"809","FR47",-0.689976593145154,11.2652357767871,"0-36","CT49"
"810","FR47",-1.39039970713301,6.33868851583246,"0-12","CT49"
"811","FR47",1.1434989290536,5.34650509525953,"13-24","CT49"
"812","FR47",-0.443075815065743,7.62505398487258,"25-36","CT49"
"813","FR47",-1.57950126101976,11.5079099098025,"0-36","CT5"
"814","FR47",-1.28343895106698,6.42027221008046,"0-12","CT5"
"815","FR47",0.65188790081605,5.42528677365621,"13-24","CT5"
"816","FR47",-0.947950210768827,7.85992103422103,"25-36","CT5"
"817","FR47",0.547551687435066,12.7364084811641,"0-36","CT52"
"818","FR47",-0.772067981275072,7.42799098480059,"0-12","CT52"
"819","FR47",1.14269705446167,6.10772083024807,"13-24","CT52"
"820","FR47",0.176922614248464,8.35085607519033,"25-36","CT52"
"821","FR47",-0.824161751184699,11.1349649464374,"0-36","CT53"
"822","FR47",-1.31594778693927,6.27174229289728,"0-12","CT53"
"823","FR47",1.05852191842228,5.34338415618231,"13-24","CT53"
"824","FR47",-0.566735882667709,7.49005598973286,"25-36","CT53"
"825","FR47",-1.07519744469414,11.2583084077027,"0-36","CT54"
"826","FR47",-1.41729770231035,6.29682036209491,"0-12","CT54"
"827","FR47",0.999281052264371,5.36081567749825,"13-24","CT54"
"828","FR47",-0.657180794648159,7.63945134170933,"25-36","CT54"
"829","FR47",0.254512627672939,10.7561386826958,"0-36","CT56"
"830","FR47",-1.13234688716403,6.16914871174974,"0-12","CT56"
"831","FR47",1.56970750253139,5.09187983301971,"13-24","CT56"
"832","FR47",-0.182847987694423,7.19088890887552,"25-36","CT56"
"833","FR47",-1.1105704365603,12.2997130893795,"0-36","CT57"
"834","FR47",-1.41580619698157,6.89432270416426,"0-12","CT57"
"835","FR47",0.96845770669244,5.76842636408126,"13-24","CT57"
"836","FR47",-0.663221946271173,8.39502911335457,"25-36","CT57"
"837","FR47",-1.80695020354094,11.6715764333313,"0-36","CT58"
"838","FR47",-1.42021759772879,6.53948522114074,"0-12","CT58"
"839","FR47",0.582002567234061,5.53631935040594,"13-24","CT58"
"840","FR47",-0.968735173046204,7.92527586471902,"25-36","CT58"
"841","FR47",-1.2765003904065,11.1462145549684,"0-36","CT59"
"842","FR47",-1.3083159600118,6.30035305367977,"0-12","CT59"
"843","FR47",0.996241453750736,5.27800539835347,"13-24","CT59"
"844","FR47",-0.96442588414544,7.52903110096706,"25-36","CT59"
"845","FR47",-0.0643264041872298,12.689354889109,"0-36","CT6"
"846","FR47",-0.817470920746515,7.36760383048038,"0-12","CT6"
"847","FR47",0.861549931098886,6.11909931546575,"13-24","CT6"
"848","FR47",-0.1084054145396,8.32434771416434,"25-36","CT6"
"849","FR47",-0.875060511546511,11.7089608149252,"0-36","CT60"
"850","FR47",-1.32635647438866,6.57931009688088,"0-12","CT60"
"851","FR47",1.02202187031008,5.51607498893885,"13-24","CT60"
"852","FR47",-0.570725907467931,7.96149224272306,"25-36","CT60"
"853","FR47",-0.562651478830438,11.4560267835945,"0-36","CT61"
"854","FR47",-1.20763013641229,6.43582596502847,"0-12","CT61"
"855","FR47",1.08836122215717,5.47431390425605,"13-24","CT61"
"856","FR47",-0.443382564575311,7.73644499056051,"25-36","CT61"
"857","FR18",-0.968328929252802,27.0259496555871,"0-36","CT1"
"858","FR18",-0.581665651907437,16.7406049036746,"0-12","CT1"
"859","FR18",0.615920427094101,14.0529435605302,"13-24","CT1"
"860","FR18",-1.00258370443947,15.8955616299,"25-36","CT1"
"861","FR18",-0.122685784066565,27.1316643972287,"0-36","CT12"
"862","FR18",-0.43518780185646,16.7897741647281,"0-12","CT12"
"863","FR18",0.921489668891271,14.3230594488309,"13-24","CT12"
"864","FR18",-0.608987651101377,15.7822895831541,"25-36","CT12"
"865","FR18",-1.38066826097131,27.0885271140662,"0-36","CT13"
"866","FR18",-1.06339679434859,16.1487961730453,"0-12","CT13"
"867","FR18",0.655016526405671,14.7159016521602,"13-24","CT13"
"868","FR18",-0.972287993028388,16.0139602202229,"25-36","CT13"
"869","FR18",-0.947574385878127,27.1108987033978,"0-36","CT16"
"870","FR18",-0.258376411704781,16.6813080396886,"0-12","CT16"
"871","FR18",0.369104067434776,14.4850689111081,"13-24","CT16"
"872","FR18",-1.05830204160812,15.7136109545631,"25-36","CT16"
"873","FR18",-0.813816871521137,27.3372125686065,"0-36","CT19"
"874","FR18",-0.726685658915008,16.8134682905203,"0-12","CT19"
"875","FR18",0.661598999579458,14.278345213431,"13-24","CT19"
"876","FR18",-0.748730212185588,16.1480442478629,"25-36","CT19"
"877","FR18",-0.495135764280342,25.2933090876268,"0-36","CT2"
"878","FR18",-0.568583000594418,15.8677973605674,"0-12","CT2"
"879","FR18",0.767173393995042,13.1785017340066,"13-24","CT2"
"880","FR18",-0.693726157680967,14.6387015671808,"25-36","CT2"
"881","FR18",-0.274564042611748,26.1121221790548,"0-36","CT20"
"882","FR18",-0.513316625884011,16.3165301324442,"0-12","CT20"
"883","FR18",0.853293197567762,13.704179980005,"13-24","CT20"
"884","FR18",-0.614540614295499,15.0933501982349,"25-36","CT20"
"885","FR18",-0.446298284542769,24.7453848642199,"0-36","CT21"
"886","FR18",-0.608339444800838,15.4766434155198,"0-12","CT21"
"887","FR18",0.821188761472145,12.8966591962463,"13-24","CT21"
"888","FR18",-0.659147601214076,14.3695428682714,"25-36","CT21"
"889","FR18",-3.89291563112522,23.5634741896823,"0-36","CT22"
"890","FR18",-2.29976430114795,14.6083666824908,"0-12","CT22"
"891","FR18",-0.0595689129794952,12.455307551078,"13-24","CT22"
"892","FR18",-1.53358241699777,13.6637568979317,"25-36","CT22"
"893","FR18",-0.47810099139228,27.2546801303809,"0-36","CT23"
"894","FR18",-0.520498810357299,16.7641370813025,"0-12","CT23"
"895","FR18",0.781459294590278,14.1697900318141,"13-24","CT23"
"896","FR18",-0.739061475625259,16.1554432741099,"25-36","CT23"
"897","FR18",-0.910436708942898,28.3697720790104,"0-36","CT24"
"898","FR18",-0.433113999235176,17.6313670839696,"0-12","CT24"
"899","FR18",0.604885098157571,14.5045502612162,"13-24","CT24"
"900","FR18",-1.08220780786529,16.8403350407634,"25-36","CT24"
"901","FR18",-2.00652495627014,26.7232004998097,"0-36","CT28"
"902","FR18",-0.650368447866233,16.4412818083717,"0-12","CT28"
