"","omitted","month","ATT","CI.lower","CI.upper"
"351","FR41",-18,0.0577653479272489,-0.412160756591705,0.527691452446203
"352","FR21",-18,0.0801824857610705,-0.398804463616876,0.559169435139017
"353","FR29",-18,-0.179530058976724,-0.708725952998656,0.349665835045207
"354","FR76",-18,0.0597519778409279,-0.422870949056577,0.542374904738433
"355","FR38",-18,0.0809627563284581,-0.391600593348801,0.553526106005717
"356","FR89",-18,0.0644202653967338,-0.418877320343628,0.547717851137096
"357","FR23",-18,0.0380144171715865,-0.44461055084299,0.520639385186163
"358","FR7",-18,0.150162145341745,-0.33625978767474,0.636584078358229
"359","FR13",-18,0.037824407775205,-0.446352660742422,0.522001476292832
"360","FR91",-18,0.113690599409651,-0.374978468772819,0.602359667592122
"361","FR92",-18,0.0338319881891431,-0.441210973224608,0.508874949602894
"362","FR81",-17,-0.022080229645,-0.511619533953243,0.467459074663243
"363","FR5",-17,-0.0428682626495113,-0.52544536790677,0.439708842607747
"364","FR77",-17,-0.0335376452849022,-0.520406423060117,0.453331132490312
"365","FR32",-17,-0.0188775421993875,-0.502155286665815,0.46440020226704
"366","FR25",-17,-0.0403149599687156,-0.519257914083249,0.438627994145818
"367","FR47",-17,-0.0406478361007403,-0.536724299175132,0.455428626973651
"368","FR18",-17,-0.0357561021635221,-0.515996969608232,0.444484765281188
"369","FR40",-17,-0.0390471714406294,-0.540179267195891,0.462084924314633
"370","FR41",-17,-0.0314939731781003,-0.512441149249561,0.44945320289336
"371","FR21",-17,-0.0944428395583148,-0.586228788158893,0.397343109042264
"372","FR29",-17,-0.0256424611330501,-0.528883476653011,0.477598554386911
"373","FR76",-17,-0.0351699717787811,-0.517114263038931,0.446774319481368
"374","FR38",-17,-0.0229798203133106,-0.505435884100352,0.459476243473731
"375","FR89",-17,-0.03050077260455,-0.520709863027059,0.459708317817959
"376","FR23",-17,-0.0758000548853212,-0.583279619673052,0.43167950990241
"377","FR7",-17,0.00431719165830506,-0.479234196247584,0.487868579564194
"378","FR13",-17,0.00327146806906594,-0.495873252848005,0.502416188986137
"379","FR91",-17,-0.120243315489732,-0.632897524186986,0.392410893207521
"380","FR92",-17,-0.0324317647654893,-0.526281202432097,0.461417672901118
"381","FR81",-16,0.0819419949536434,-0.388348396535039,0.552232386442326
"382","FR5",-16,0.0611347194206444,-0.414629110121773,0.536898548963062
"383","FR77",-16,0.0806972836094649,-0.395890731616268,0.557285298835197
"384","FR32",-16,0.0807333777794357,-0.384386633250787,0.545853388809658
"385","FR25",-16,0.0734597801920173,-0.390073668761577,0.536993229145611
"386","FR47",-16,0.0514892963703596,-0.438075770635243,0.541054363375962
"387","FR18",-16,0.0729319487965148,-0.391690034024878,0.537553931617908
"388","FR40",-16,0.0556002114236115,-0.415024842212701,0.526225265059924
"389","FR41",-16,0.0755335441318525,-0.389867176947233,0.540934265210938
"390","FR21",-16,0.0978697925797598,-0.37852954939515,0.574269134554669
"391","FR29",-16,0.101892772800487,-0.37669666189984,0.580482207500814
"392","FR76",-16,0.0780371326558431,-0.397057213597771,0.553131478909457
"393","FR38",-16,0.0794983109154988,-0.393546255311206,0.552542877142204
"394","FR89",-16,0.0792643239511874,-0.391154854832949,0.549683502735324
"395","FR23",-16,0.0754698717300582,-0.390786653123625,0.541726396583741
