"","hexid","ATT","CI.lower","CI.upper","period"
"93","FR16",-2.1071234439968,-68.2015442935659,63.9872974055723,"0-24"
"94","FR18",5.91445789543108,-57.9337518052319,69.7626675960941,"0-24"
"95","FR20",143.095430216821,91.3806959162218,194.81016451742,"0-24"
"96","FR31",49.7382917599565,-98.5978717545181,198.074455274431,"0-24"
"97","FR39",-6.370424477246,-263.822724773138,251.081875818646,"0-24"
"98","FR44",20.1252427606897,-185.822559695096,226.073045216475,"0-24"
"99","FR5",10.7933831954912,-89.3130867514934,110.899853142476,"0-24"
"100","FR87",75.1787835912295,-125.342654036382,275.700221218841,"0-24"
"101","FR84",-0.58803008549661,-44.9834530791377,43.8073929081445,"0-24"
"102","FR88",53.9668759157488,-47.6256582190515,155.559410050549,"0-24"
"103","FR75",-5.65595535088925,-88.1260499334133,76.8141392316348,"0-24"
"104","FR90",-4.06671526369286,-60.1968177026193,52.0633871752335,"0-24"
"105","FR91",22.5231572389162,-47.4499569903394,92.4962714681718,"0-24"
"106","ALL",1.84149052927183,-4.72402673676127,8.40700779530493,"0-24"
"107","ALL Over 10",1.1543003221579,-5.64679615907747,7.95539680339327,"0-24"
"108","ALL Under 10",11.2486062892562,-13.914757659726,36.4119702382384,"0-24"
"109","FR65",20.4674888090638,-88.4868251520126,129.42180277014,"0-36"
"110","FR55",14.0812993507813,-130.107379690386,158.269978391949,"0-36"
"111","FR60",21.7124533988823,-115.598782456219,159.023689253984,"0-36"
"112","FR66",-26.0808668870351,-85.8494859543184,33.6877521802482,"0-36"
"113","FR70",-2.05114036189113,-61.9146688509107,57.8123881271285,"0-36"
"114","FR54",30.3575967168371,-85.8870579452069,146.602251378881,"0-36"
"115","FR58",110.097546217359,-27.3102315927437,247.505324027462,"0-36"
"116","FR59",-0.942816139761808,-80.1557194321365,78.2700871526129,"0-36"
"117","FR61",-20.0458825559038,-94.3584544577123,54.2666893459047,"0-36"
"118","FR62",20.2349676626161,-121.13661008545,161.606545410682,"0-36"
"119","FR63",1.35750937850301,-72.4858245956064,75.2008433526124,"0-36"
"120","FR68",60.4184813663702,-27.6466846921365,148.483647424877,"0-36"
"121","FR69",-2.66732217374424,-88.990083186963,83.6554388394745,"0-36"
"122","FR17",8.23995142528138,-12.5714977406501,29.0514005912128,"0-36"
"123","FR21",7.50066932181384,-80.4174903891165,95.4188290327442,"0-36"
"124","FR41",-3.02354739856863,-44.2565608428872,38.2094660457499,"0-36"
"125","FR51",2.61527569258389,-68.3432447585808,73.5737961437486,"0-36"
"126","FR6",-26.8673459796561,-256.009855888208,202.275163928896,"0-36"
"127","FR9",77.4364323083873,-93.2954260702525,248.168290687027,"0-36"
"128","FR11",-1.39078832613138,-26.9486438369975,24.1670671847347,"0-36"
"129","FR12",29.12425604548,-93.3775262941177,151.626038385078,"0-36"
"130","FR19",-1.56470250892512,-48.7876863272636,45.6582813094134,"0-36"
"131","FR22",7.74874878579026,-61.1710346540433,76.6685322256238,"0-36"
"132","FR23",6.10454211033107,-64.661395435631,76.8704796562932,"0-36"
"133","FR24",266.818154446764,-12.4784176228979,546.114726516426,"0-36"
"134","FR25",12.1999367891608,-135.238983363158,159.63885694148,"0-36"
"135","FR29",20.4581811642752,-47.7677471388629,88.6841094674133,"0-36"
"136","FR36",15.9413705368096,-89.8723501823849,121.755091256004,"0-36"
"137","FR47",-18.9963184160048,-117.617950459059,79.6253136270492,"0-36"
"138","FR53",-25.6484405019644,-69.3984582331419,18.1015772292131,"0-36"
"139","FR1",-7.87595863242554,-58.8891321198156,43.1372148549645,"0-36"
"140","FR2",0.950796733387237,-65.6056653334584,67.5072588002328,"0-36"
"141","FR30",-12.6006405233633,-37.0638018148623,11.8625207681357,"0-36"
"142","FR43",37.3729648542038,-79.7417700158477,154.487699724255,"0-36"
"143","FR48",-183.341553603533,-332.035260955438,-34.6478462516276,"0-36"
"144","FR49",-107.124559437488,-188.767187810106,-25.4819310648698,"0-36"
"145","FR15",-16.1160042718642,-181.344909346463,149.112900802734,"0-36"
"146","FR26",25.9639358898384,-51.9331337662454,103.861005545922,"0-36"
"147","FR16",0.606380211092854,-107.504068560431,108.716828982616,"0-36"
"148","FR18",0.106794248168142,-73.0955111679389,73.3090996642752,"0-36"
"149","FR20",250.491768978068,191.765210253947,309.218327702189,"0-36"
"150","FR31",76.5021710623586,-115.376011696595,268.380353821313,"0-36"
"151","FR39",-8.61243620792262,-327.674346524594,310.449474108749,"0-36"
"152","FR44",51.1823638155154,-216.878093732546,319.242821363577,"0-36"
"153","FR5",405.933509139619,262.338113210931,549.528905068307,"0-36"
"154","FR87",79.5658942688164,-130.297150488834,289.428939026466,"0-36"
"155","FR84",1.12369444472752,-70.0873843225757,72.3347732120307,"0-36"
"156","FR88",65.8292812433788,-45.157146927375,176.815709414133,"0-36"
"157","FR75",28.6684734112015,-69.7054865253793,127.042433347782,"0-36"
"158","FR90",24.659494579673,-48.707835000186,98.026824159532,"0-36"
"159","FR91",25.3005112189993,-64.4760924874888,115.077114925487,"0-36"
"160","ALL",7.74775438004025,-1.17600723006975,16.6715159901503,"0-36"
"161","ALL Over 10",7.07234424781457,-1.97221590098358,16.1169043966127,"0-36"
"162","ALL Under 10",32.5273545715647,-22.2562763758898,87.3109855190192,"0-36"
"163","FR65",4.35411295638502,-60.7088959622583,69.4171218750283,"12-24"
"164","FR55",3.82228586355343,-22.8520268017805,30.4965985288873,"12-24"
"165","FR60",7.03115591118285,-26.2529923020118,40.3153041243775,"12-24"
"166","FR66",-5.24562967582685,-38.2811069194243,27.7898475677706,"12-24"
"167","FR70",-3.47996871128324,-37.0760686167975,30.1161311942311,"12-24"
"168","FR54",-3.52962544067227,-21.9493193841673,14.8900685028227,"12-24"
"169","FR58",30.8537263816961,-51.1832690386292,112.890721802021,"12-24"
"170","FR59",9.7554799061238,-38.9504217109662,58.4613815232138,"12-24"
"171","FR61",-11.3834437929594,-71.924894284351,49.1580066984322,"12-24"
"172","FR62",8.84618780578495,-89.9023304122098,107.59470602378,"12-24"
"173","FR63",-2.1761320787297,-44.6977104942681,40.3454463368087,"12-24"
"174","FR68",17.8392628853636,-39.0166356691104,74.6951614398376,"12-24"
"175","FR69",12.6675415835535,-50.2775057643412,75.6125889314482,"12-24"
"176","FR17",2.90915474022986,-8.80401437878036,14.6223238592401,"12-24"
