"hexid","month","observed","predicted"
"FR25",0,0,-0.0762783959468636
"FR25",1,1,0.0611230863502706
"FR25",2,0,-0.0915491645456719
"FR25",3,0,-0.312934575297108
"FR25",4,1,-0.117696717072248
"FR25",5,0,0.0261969848115154
"FR25",6,1,0.0177892900211538
"FR25",7,0,-0.292927728565942
"FR25",8,0,0.162382926883566
"FR25",9,0,0.257880659545556
"FR25",10,0,0.444597929025775
"FR25",11,0,0.207196555297222
"FR25",12,0,0.0692936159273415
"FR25",13,0,0.0429021438924793
"FR25",14,0,-0.0372573062587543
"FR25",15,0,-0.0680790134477072
"FR25",16,0,0.440648441172585
"FR25",17,0,-0.00530272787841812
"FR25",18,0,-0.0856847822084584
"FR25",19,0,-0.0689588250743625
"FR25",20,0,0.292983487421122
"FR25",21,0,0.284615485881608
"FR25",22,0,0.266364224707541
"FR25",23,0,0.0294737487259253
"FR25",24,0,0.149091590519489
"FR25",25,0,0.167671248968693
"FR25",26,0,0.0621263906653127
"FR25",27,0,0.107340484784929
"FR25",28,0,0.42767438323599
"FR25",29,0,0.130021703422806
"FR25",30,0,0.294473767711284
"FR25",31,0,0.439363133375815
"FR25",32,0,0.0297714051295257
"FR25",33,0,0.362196427309229
"FR25",34,0,0.814646772940544
"FR25",35,0,0.309811883551471
"FR25",36,0,-0.0548474009844236
"FR47",-36,0,0.153617698622116
"FR47",-35,0,-0.181598123547501
"FR47",-34,0,0.321396537506084
"FR47",-33,1,0.238736615064759
"FR47",-32,0,0.229909777097526
"FR47",-31,0,-0.548290515597905
"FR47",-30,0,0.0735966566577596
"FR47",-29,0,0.0464446359212169
"FR47",-28,0,-0.105190159600631
"FR47",-27,0,0.0430226178733654
"FR47",-26,0,0.403790447347367
"FR47",-25,0,0.452766249142676
"FR47",-24,0,0.166386235528787
"FR47",-23,0,-0.0802883715727705
"FR47",-22,0,-0.222508470868577
"FR47",-21,0,-0.119279280078446
"FR47",-20,0,0.163288764044414
"FR47",-19,0,-0.431150650587854
"FR47",-18,0,-0.186241506122036
"FR47",-17,0,-0.400827189742083
"FR47",-16,0,0.00105522784606382
"FR47",-15,0,0.152437253433956
"FR47",-14,0,-0.0879813655000283
"FR47",-13,0,0.22337517742449
"FR47",-12,0,0.269083937214358
"FR47",-11,1,0.264779168879622
"FR47",-10,0,0.689497638858458
"FR47",-9,0,0.10456135615553
"FR47",-8,0,-0.0945507224338122
"FR47",-7,0,0.239352892662828
"FR47",-6,0,-0.117672317014976
"FR47",-5,0,-0.0932590158197087
"FR47",-4,0,-0.0950782939890975
"FR47",-3,0,0.167773695141996
"FR47",-2,0,0.359043400052057
"FR47",-1,0,0.118029565959874
"FR47",0,0,-0.137941821792442
"FR47",1,0,0.0381321308191962
"FR47",2,0,0.329373227369655
"FR47",3,0,0.772153902635793
"FR47",4,0,0.102640856784463
"FR47",5,0,-0.369034136249655
"FR47",6,0,0.117103030285453
"FR47",7,0,0.020426338265074
"FR47",8,0,-0.0556348232269165
"FR47",9,0,0.176632194994358
"FR47",10,0,0.143864298842825
"FR47",11,0,-0.123116128095703
"FR47",12,1,-0.356456873871262
"FR47",13,0,-0.0125324516029709
"FR47",14,1,-0.233970226128478
"FR47",15,0,-0.00271170029266438
"FR47",16,0,-0.227270092451302
"FR47",17,0,-0.477657234053646
"FR47",18,0,-0.0442593516362039
"FR47",19,0,-0.209624844006178
"FR47",20,0,-0.328786620667898
"FR47",21,0,-0.0511546383508348
"FR47",22,0,-0.0613726484672067
"FR47",23,0,-0.00378738375999578
"FR47",24,0,0.0291653345065515
"FR47",25,0,-0.147844685224288
"FR47",26,0,-0.554108599334761
"FR47",27,0,-0.169847848812504
"FR47",28,0,-0.0872638874916936
"FR47",29,0,-0.108129605429421
"FR47",30,0,-0.295696681120872
"FR47",31,0,-0.143700840091134
"FR47",32,0,-0.159869971400097
"FR47",33,0,-0.319429022351577
"FR47",34,0,-0.0316049460210378
"FR47",35,0,0.258013358954063
"FR47",36,0,0.00883215543349876
"FR18",-36,0,-0.00844007933051039
"FR18",-35,0,0.0926526552091094
"FR18",-34,0,-0.0429621440555832
"FR18",-33,0,-0.130537288918058
"FR18",-32,0,-0.163924520408489
"FR18",-31,0,-0.135156064285815
"FR18",-30,0,0.102527688779299
"FR18",-29,0,-0.1391572394219
"FR18",-28,0,-0.0269678736590436
"FR18",-27,0,-0.0538280462979588
"FR18",-26,0,0.0249239161418827
"FR18",-25,0,0.142804359248717
"FR18",-24,0,0.51665540072465
"FR18",-23,0,-0.0374552266049513
"FR18",-22,0,0.121303232775166
"FR18",-21,1,0.095587945039469
"FR18",-20,0,0.290279476817637
"FR18",-19,0,0.136856839131195
"FR18",-18,0,0.248328192905383
"FR18",-17,0,-0.168019866245115
"FR18",-16,1,-0.0351673045255885
"FR18",-15,0,-0.0428077655678387
"FR18",-14,0,0.156162083443552
"FR18",-13,0,0.141261379037395
"FR18",-12,0,0.20743399728527
"FR18",-11,1,0.267346763380357
"FR18",-10,1,0.816541318214769
"FR18",-9,0,0.670748172000939
"FR18",-8,0,0.287583435133231
"FR18",-7,0,-0.048821807753636
"FR18",-6,0,0.529754648363263
"FR18",-5,0,0.0207415282430248
"FR18",-4,0,0.200329185200009
"FR18",-3,1,0.430037711598719
"FR18",-2,0,0.533385298401452
"FR18",-1,0,0.41916475439511
"FR18",0,0,0.691664658695808
"FR18",1,0,-0.0690404804044298
"FR18",2,1,0.47864574970984
"FR18",3,0,0.391016210734328
"FR18",4,1,0.270453519983655
"FR18",5,0,-0.0225062333014039
"FR18",6,0,0.388230127532806
"FR18",7,0,0.121864231335976
"FR18",8,0,0.32697746741318
"FR18",9,0,0.255718357172253
"FR18",10,0,0.0359818643471536
"FR18",11,0,-0.205275931356455
"FR18",12,0,0.319383364800952
"FR18",13,1,-0.132004416625653
"FR18",14,0,0.170764532371113
"FR18",15,0,-0.183515977572893
"FR18",16,0,-0.0749225691948094
"FR18",17,0,-0.129628830627706
"FR18",18,0,0.104903170388385
"FR18",19,0,0.171104307465676
"FR18",20,0,-0.129616940650967
"FR18",21,0,0.236627113945536
"FR18",22,0,-0.037022752677293
"FR18",23,1,0.470665149519716
"FR18",24,0,0.16699742272828
"FR18",25,0,0.0194843128969688
"FR18",26,0,0.028409862260359
"FR18",27,0,-0.223024383646255
"FR18",28,0,-0.198765369749479
"FR18",29,0,0.557432520575938
"FR18",30,1,-0.0417995747769109
"FR18",31,0,0.0702030849834028
"FR18",32,0,-0.0166288190840378
"FR18",33,0,0.378148636703861
"FR18",34,0,0.266810506457357
"FR18",35,0,0.165165157870654
"FR18",36,0,-0.0532649332620743
"FR41",-36,0,0.566226061997076
"FR41",-35,0,0.374985785308273
"FR41",-34,0,0.36857924870765
"FR41",-33,0,0.454142047560191
"FR41",-32,0,0.101151707935596
"FR41",-31,1,0.498925855433662
"FR41",-30,0,0.790595025847548
"FR41",-29,0,0.315735925433082
"FR41",-28,0,0.594340952403837
"FR41",-27,1,0.270111951429021
"FR41",-26,1,0.41790992895866
"FR41",-25,1,0.522146913887867
"FR41",-24,0,0.962313647882448
"FR41",-23,0,0.250159856324269
"FR41",-22,1,0.441023457358808
"FR41",-21,1,0.538874643765996
"FR41",-20,2,0.93221290209353
"FR41",-19,0,0.0848140895626488
"FR41",-18,0,0.527543905153711
"FR41",-17,0,0.132700833640035
"FR41",-16,1,0.216576205371029
"FR41",-15,0,0.37683391634961
"FR41",-14,0,0.32342769596097
"FR41",-13,0,0.321799976708502
"FR41",-12,0,0.435415810166591
"FR41",-11,1,0.217342977264821
"FR41",-10,0,0.429729379072945
"FR41",-9,0,0.429860821503619
"FR41",-8,1,0.660808760453434
"FR41",-7,0,-0.13629527218226
"FR41",-6,0,1.05826674012816
"FR41",-5,2,0.493547236916016
"FR41",-4,1,0.801763694555194
"FR41",-3,1,0.743263527741902
"FR41",-2,1,0.483163789305568
"FR41",-1,0,-0.170559557425086
"FR41",0,2,0.688125653855673
"FR41",1,1,-0.667568264997358
"FR41",2,0,0.0890431058952781
"FR41",3,0,-0.232277574008227
"FR41",4,0,0.27531322422627
"FR41",5,0,-0.4871654301526
"FR41",6,0,0.120224652220456
"FR41",7,1,-0.26421741034279
"FR41",8,1,0.211945289293759
"FR41",9,0,0.299526479442425
"FR41",10,1,0.190214377130373
"FR41",11,1,-0.318705270658985
"FR41",12,1,0.269078633499753
"FR41",13,0,-0.135245575916614
"FR41",14,0,0.322273837199289
"FR41",15,1,-0.155869820571381
"FR41",16,0,-0.302396739130401
"FR41",17,0,-0.158233918804806
"FR41",18,0,0.347041323335076
"FR41",19,0,0.589345692817854
"FR41",20,0,-0.02911737019993
"FR41",21,0,0.140219779222069
"FR41",22,0,-0.364297958345036
"FR41",23,0,0.673667122362737
"FR41",24,0,0.266007103908332
"FR41",25,0,0.0681784315073226
"FR41",26,1,-0.0202939170971559
"FR41",27,0,-0.63926433435812
"FR41",28,1,-0.242684507154768
"FR41",29,0,1.02018713781483
"FR41",30,0,0.0268319331528701
"FR41",31,0,0.392856448646968
"FR41",32,0,0.1621115259905
"FR41",33,1,0.821198442856326
"FR41",34,0,0.451516100882011
"FR41",35,0,0.28359262436682
"FR41",36,0,-0.215837156805441
"FR21",-36,0,0.410330645566497
"FR21",-35,1,0.416776676883112
"FR21",-34,0,0.369093664327855
"FR21",-33,0,0.511717909233128
"FR21",-32,0,0.368877861732611
"FR21",-31,1,0.275967183157018
"FR21",-30,0,0.655886600296155
"FR21",-29,0,0.364104089994415
"FR21",-28,2,0.341318469790042
"FR21",-27,0,0.108133669001251
"FR21",-26,0,0.489491366289158
"FR21",-25,1,0.260283031722755
"FR21",-24,0,0.319503977551844
"FR21",-23,1,0.0994367288550131
"FR21",-22,0,-0.292643480247492
"FR21",-21,0,0.602101147713564
"FR21",-20,0,0.45097373977407
"FR21",-19,0,0.475130179353805
"FR21",-18,1,0.112324613636732
"FR21",-17,0,0.328723641908093
"FR21",-16,0,-0.0144596755089831
"FR21",-15,0,-0.0157693065610234
"FR21",-14,1,0.53493889740625
"FR21",-13,0,0.640188023132962
"FR21",-12,0,0.108910758416176
"FR21",-11,0,0.260974775766419
"FR21",-10,0,0.629872096170237
"FR21",-9,0,0.500631185430668
"FR21",-8,0,0.0754497248516725
"FR21",-7,0,0.38222843311076
"FR21",-6,1,0.156427253960888
"FR21",-5,1,0.155810641653592
"FR21",-4,1,0.485483792571164
"FR21",-3,0,0.101479170998086
"FR21",-2,0,0.330302512061527
"FR21",-1,1,0.0644908545245939
"FR21",0,2,-0.374630454943415
"FR21",1,1,-0.28680144163526
"FR21",2,0,-0.0240652905348973
"FR21",3,0,0.373535194410042
"FR21",4,1,0.157486527367669
"FR21",5,0,0.971604937304102
"FR21",6,3,0.446761392290077
"FR21",7,0,0.68269520245603
"FR21",8,1,0.677147064615313
"FR21",9,0,0.541989611863372
"FR21",10,0,-0.119341407969243
"FR21",11,1,0.579031344780701
"FR21",12,0,-0.44648025768434
"FR21",13,1,-0.285148943097888
"FR21",14,1,-0.444949193788698
"FR21",15,1,0.00896043816029835
"FR21",16,2,-0.656764165159848
"FR21",17,2,0.134695479295309
"FR21",18,0,-0.170188889592572
"FR21",19,0,0.12682105325942
"FR21",20,2,0.273689588239064
"FR21",21,2,0.32729869461862
"FR21",22,2,-0.0425620775763016
"FR21",23,0,0.504235995693379
"FR21",24,1,0.116322345955258
"FR21",25,0,0.50025431745874
"FR21",26,1,0.219920947930443
"FR21",27,1,-0.631539811480659
"FR21",28,1,0.149734156040798
"FR21",29,2,0.396969102876144
"FR21",30,0,0.670703488915252
"FR21",31,2,0.233555799203207
"FR21",32,3,0.378431782939059
"FR21",33,3,0.0141047352036714
"FR21",34,0,0.936583984776579
"FR21",35,0,0.58526631195581
"FR21",36,0,0.100216184293785
"FR44",-36,0,-0.102571100479539
"FR44",-35,0,0.379927103856095
"FR44",-34,0,0.368086075005225
"FR44",-33,1,0.321259835519993
"FR44",-32,0,-0.120014180814065
"FR44",-31,0,-0.0511162135490272
"FR44",-30,0,0.0804775632812039
"FR44",-29,0,0.515267774306791
"FR44",-28,0,0.0683159927987764
"FR44",-27,1,-0.0348610677512746
"FR44",-26,0,-0.194627339632097
"FR44",-25,0,0.335886336417468
"FR44",-24,2,0.307907839562714
"FR44",-23,0,0.125118855545998
"FR44",-22,0,0.182344562003397
"FR44",-21,0,0.404650354042926
"FR44",-20,0,0.160101915431403
"FR44",-19,0,0.655894478978992
"FR44",-18,0,0.388045821311628
"FR44",-17,0,0.0793917622883619
"FR44",-16,0,0.385823263509074
"FR44",-15,0,0.200163310268008
"FR44",-14,0,0.132709237522618
"FR44",-13,0,0.10959214930567
"FR44",-12,1,-0.227106074131787
"FR44",-11,0,0.125780680912286
"FR44",-10,0,-0.0653569627877646
"FR44",-9,0,0.208530077537897
"FR44",-8,0,-0.391461982166726
"FR44",-7,0,0.387256754796714
"FR44",-6,0,0.307157834599502
"FR44",-5,0,0.228564125202527
"FR44",-4,0,-0.519536616162477
"FR44",-3,0,-0.114004015708824
"FR44",-2,0,0.362401849178315
"FR44",-1,0,0.127117604173441
"FR44",0,0,0.262848526567685
"FR44",1,0,0.1489402572984
"FR44",2,0,0.110664621597774
"FR44",3,0,0.146980503651562
"FR44",4,0,-0.00152214059225864
"FR44",5,0,0.00881414335274633
"FR44",6,0,0.0122760888370603
"FR44",7,0,-0.0858371386891785
"FR44",8,0,0.375763010717289
"FR44",9,0,-0.253967763983501
"FR44",10,2,-0.354091031101753
"FR44",11,0,-0.239239950393184
"FR44",12,0,-0.0299415710240017
"FR44",13,0,-0.201296776472549
"FR44",14,0,0.280598119254648
"FR44",15,1,-0.00582752094069572
"FR44",16,0,-0.645740383550949
"FR44",17,0,-0.0855179379465846
"FR44",18,0,0.272814996011649
"FR44",19,0,0.22667306353731
"FR44",20,0,-0.0720708052900972
"FR44",21,0,-0.154912359068498
"FR44",22,0,0.0557862063768925
"FR44",23,0,-0.443131609657969
"FR44",24,0,0.294933234762328
"FR44",25,0,0.289196986439804
"FR44",26,0,-0.098921144124381
"FR44",27,0,-0.0681866718577533
"FR44",28,0,0.100256898820581
"FR44",29,0,0.0535615545802369
"FR44",30,0,0.15239045777974
"FR44",31,0,-0.0705229487077653
"FR44",32,0,-0.048360760532558
"FR44",33,0,-0.0900767833205658
"FR44",34,1,0.222454714768686
"FR44",35,0,0.898621259299497
"FR44",36,0,-0.017333740706987
"FR29",-36,0,0.453740803770204
"FR29",-35,1,0.165947736624595
"FR29",-34,1,0.890118649122296
"FR29",-33,0,0.097454001548217
"FR29",-32,0,0.327226511401063
"FR29",-31,0,0.341015652380303
"FR29",-30,0,0.164072264406249
"FR29",-29,0,0.289721328046916
"FR29",-28,0,0.238468318673694
"FR29",-27,1,0.754089484906932
"FR29",-26,0,0.827974665055035
"FR29",-25,0,0.221748691405541
"FR29",-24,0,0.490213294824788
"FR29",-23,0,0.214971412650878
"FR29",-22,1,0.2029352841013
"FR29",-21,1,0.364296602091057
"FR29",-20,0,0.033386036618795
"FR29",-19,1,0.0991450375396141
"FR29",-18,0,0.155220936549592
"FR29",-17,0,0.335021279797998
"FR29",-16,0,0.171246486165113
"FR29",-15,0,0.200541619166324
"FR29",-14,0,0.607331920393087
"FR29",-13,2,0.504689387863422
"FR29",-12,0,-0.0016702559313817
"FR29",-11,0,-0.0334490675471801
"FR29",-10,0,0.198610543948644
"FR29",-9,0,0.0009239410609303
"FR29",-8,0,-0.124142797806204
"FR29",-7,0,0.103071608988043
"FR29",-6,0,0.116584364569301
"FR29",-5,0,0.169983536178167
"FR29",-4,0,0.15293853748339
"FR29",-3,2,0.809158743564609
